scenario,exclude,species,R0,A,M,steepness,Linf.mean,Linf.min,Linf.max,k,t0,Lmat.over.Linf,a,b,Lmin,Lmax,F,G,CV,a.fec,b.fec
MLL,0,Thunnus albacares,1.00E+06,40,0.3,0.6,183.0,126.3,239.7,0.334,0,0.6,2.24E-02,2.94,109.8,239.7,0.3,101,0.1,5.1228E-01,1.430
MLL,0,Scomber scombrus,1.00E+06,40,0.3,0.6,47.3,32.6,62.0,0.33,0,0.6,3.50E-03,3.25,28.4,62.0,0.3,101,0.1,7.2910E-01,1.380
MLL,0,Gadus morhua,1.00E+06,60,0.2,0.6,196.0,135.2,256.8,0.056,0,0.6,7.00E-03,3.08,117.6,256.8,0.2,101,0.1,5.6469E+00,1.090
MLL,0,Clupea harengus,1.00E+06,67,0.18,0.6,31.0,21.4,40.5,0.32,0,0.6,5.90E-03,3.09,18.6,40.5,0.18,101,0.1,2.3566E-01,1.540
MLL,0,Sebastes mystinus,1.00E+06,101,0.119,0.6,38.0,26.2,49.8,0.118,0,0.6,1.70E-02,3,22.8,49.8,0.119,101,0.1,1.4378E-01,1.610
MLL,0,Engraulis ringens,1.00E+06,17,0.69,0.6,20.0,13.8,26.2,0.79,0,0.6,6.30E-03,3.02,12.0,26.2,0.69,101,0.1,9.0106E-01,1.350
MLL,0,Theragra chalcogramma,1.00E+06,40,0.3,0.6,70.5,48.6,92.4,0.184,0,0.6,1.35E-02,2.82,42.3,92.4,0.3,101,0.1,3.3541E-01,1.490
MLL,0,Katsuwonus pelamis ,1.00E+06,18,0.65,0.6,82.0,56.6,107.4,0.54,0,0.6,7.40E-03,3.26,49.2,107.4,0.65,101,0.1,2.6911E+00,1.195
MLL,0,Engraulis japonicus,1.00E+06,13,0.93,0.6,17.7,12.2,23.2,1.1,0,0.6,3.67E-03,3.196,10.6,23.2,0.93,101,0.1,2.0784E-02,1.884
MLL,0,Trichiurus lepturus,1.00E+06,13,0.8934,0.6,106.0,73.1,138.9,0.611,0,0.6,5.00E-04,3.14,63.6,138.9,0.8934,101,0.1,1.3127E+00,1.297
MLL,0,Strangomera bentinki,1.00E+06,17,0.69,0.6,20.8,14.4,27.2,0.444,0,0.6,6.60E-03,3.11,12.5,27.2,0.69,101,0.1,6.0599E+00,1.080
MLL,0,Mallotus villosus,1.00E+06,10,1.2,0.6,22.0,15.2,28.8,0.54,0,0.6,3.70E-03,3.14,13.2,28.8,1.2,101,0.1,2.2557E+00,1.220
MLL,0,Sardinops caeruleus,1.00E+06,11,1.1,0.6,22.0,15.2,28.8,0.6,0,0.6,9.30E-03,3.06,13.2,28.8,1.1,101,0.1,2.4379E-05,2.840
MLL,0,Trachurus trachurus,1.00E+06,31,0.39,0.6,50.0,34.5,65.5,0.427,0,0.6,9.10E-03,2.97,30.0,65.5,0.39,101,0.1,4.3306E-02,1.780
MLL,0,Melanogrammus aeglefinus,1.00E+06,40,0.3,0.6,80.0,55.2,104.8,0.2,0,0.6,5.80E-03,3.13,48.0,104.8,0.3,101,0.1,2.0076E+00,1.237
MLL,0,Engraulis encrasicolus,1.00E+06,24,0.49,0.6,19.0,13.1,24.8,0.9,0,0.6,5.60E-03,3.05,11.4,24.8,0.49,101,0.1,5.4127E+00,1.096
MLL,0,Thunnus obesus ,1.00E+06,34,0.35,0.6,207.4,143.1,271.7,0.23,0,0.6,1.78E-02,3.01,124.4,271.7,0.35,101,0.1,6.4393E-03,2.050
MLL,0,Merluccius hubbsi,1.00E+06,21,0.58,0.6,80.7,55.7,105.7,0.355,0,0.6,9.10E-03,2.94,48.4,105.7,0.58,101,0.1,6.9788E+00,1.060
MLL,0,Thunnus alalunga,1.00E+06,36,0.33,0.6,124.0,85.6,162.4,0.228,0,0.6,2.57E-02,2.75,74.4,162.4,0.33,101,0.1,2.3106E-07,3.500
MLL,0,Sprattus sprattus,1.00E+06,16,0.73,0.6,13.7,9.5,17.9,0.42,0,0.6,5.60E-03,3.09,8.2,17.9,0.73,101,0.1,2.1020E+00,1.230
MLL,0,Clupea pallasii,1.00E+06,24,0.5,0.6,26.3,18.1,34.5,0.36,0,0.6,8.70E-03,3.04,15.8,34.5,0.5,101,0.1,1.1136E+00,1.320
MLL,0,Gadus macrocephalus,1.00E+06,32,0.37,0.6,100.0,69.0,131.0,0.18,0,0.6,6.60E-03,3.15,60.0,131.0,0.37,101,0.1,3.5107E+00,1.157
MLL,0,Tenualosa ilisha,1.00E+06,22,0.55,0.6,61.5,42.4,80.6,0.275,0,0.6,1.58E-02,2.92,36.9,80.6,0.55,101,0.1,1.1136E+00,1.320
MLL,0,Rastrelliger kanagurta,1.00E+06,16,0.75,0.6,32.5,22.4,42.6,0.58,0,0.6,5.90E-03,3.2,19.5,42.6,0.75,101,0.1,2.4691E-04,2.512
MLL,0,Harpadon nehereus,1.00E+06,9,1.3,0.6,43.0,29.7,56.3,0.81,0,0.6,1.70E-03,3.32,25.8,56.3,1.3,101,0.1,4.2578E+00,1.130
MLL,0,Euthynnus affinis,1.00E+06,13,0.93,0.6,81.0,55.9,106.1,0.56,0,0.6,1.70E-02,3.02,48.6,106.1,0.93,101,0.1,8.5641E+00,1.031
MLL,0,Decapterus russelli,1.00E+06,8,1.42,0.6,32.6,22.5,42.6,0.75,0,0.6,1.02E-02,3,19.5,42.6,1.42,101,0.1,3.6869E-08,3.760
MLL,0,Ethmalosa fimbriata,1.00E+06,24,0.49,0.6,30,20.7,39.3,0.43,0,0.6,9.50E-03,3.12,18.0,39.3,0.49,101,0.1,3.4452E+00,1.160
MLL,0,Scomber japonicus,1.00E+06,24,0.5,0.6,39,26.9,51.1,0.39,0,0.6,4.30E-03,3.25,23.4,51.1,0.5,101,0.1,5.1591E-01,1.429
MLL,0,Sardina pilchardus ,1.00E+06,9,1.4,0.6,17.2,11.9,22.5,0.53,0,0.6,5.20E-03,3.14,10.3,22.5,1.4,101,0.1,2.1020E+00,1.230
MLL,0,Micromesistius poutassou,1.00E+06,31,0.39,0.6,35.9,24.8,47.0,0.32,0,0.6,3.80E-03,3.16,21.5,47.0,0.39,101,0.1,2.9916E+00,1.180
MLL,0,Brevoortia patronus,1.00E+06,15,0.8,0.6,24.8,17.1,32.5,0.48,0,0.6,7.80E-03,3.23,14.9,32.5,0.8,101,0.1,4.4483E-01,1.450
HS,0,Thunnus albacares,1.00E+06,40,0.3,0.6,183.0,126.3,239.7,0.334,0,0.6,2.24E-02,2.94,109.8,164.7,0.3,101,0.1,5.1228E-01,1.430
HS,0,Scomber scombrus,1.00E+06,40,0.3,0.6,47.3,32.6,62.0,0.33,0,0.6,3.50E-03,3.25,28.4,42.6,0.3,101,0.1,7.2910E-01,1.380
HS,0,Gadus morhua,1.00E+06,60,0.2,0.6,196.0,135.2,256.8,0.056,0,0.6,7.00E-03,3.08,117.6,176.4,0.2,101,0.1,5.6469E+00,1.090
HS,0,Clupea harengus,1.00E+06,67,0.18,0.6,31.0,21.4,40.5,0.32,0,0.6,5.90E-03,3.09,18.6,27.9,0.18,101,0.1,2.3566E-01,1.540
HS,0,Sebastes mystinus,1.00E+06,101,0.119,0.6,38.0,26.2,49.8,0.118,0,0.6,1.70E-02,3,22.8,34.2,0.119,101,0.1,1.4378E-01,1.610
HS,0,Engraulis ringens,1.00E+06,17,0.69,0.6,20.0,13.8,26.2,0.79,0,0.6,6.30E-03,3.02,12.0,18.0,0.69,101,0.1,9.0106E-01,1.350
HS,0,Theragra chalcogramma,1.00E+06,40,0.3,0.6,70.5,48.6,92.4,0.184,0,0.6,1.35E-02,2.82,42.3,63.4,0.3,101,0.1,3.3541E-01,1.490
HS,0,Katsuwonus pelamis ,1.00E+06,18,0.65,0.6,82.0,56.6,107.4,0.54,0,0.6,7.40E-03,3.26,49.2,73.8,0.65,101,0.1,2.6911E+00,1.195
HS,0,Engraulis japonicus,1.00E+06,13,0.93,0.6,17.7,12.2,23.2,1.1,0,0.6,3.67E-03,3.196,10.6,15.9,0.93,101,0.1,2.0784E-02,1.884
HS,0,Trichiurus lepturus,1.00E+06,13,0.8934,0.6,106.0,73.1,138.9,0.611,0,0.6,5.00E-04,3.14,63.6,95.4,0.8934,101,0.1,1.3127E+00,1.297
HS,0,Strangomera bentinki,1.00E+06,17,0.69,0.6,20.8,14.4,27.2,0.444,0,0.6,6.60E-03,3.11,12.5,18.7,0.69,101,0.1,6.0599E+00,1.080
HS,0,Mallotus villosus,1.00E+06,10,1.2,0.6,22.0,15.2,28.8,0.54,0,0.6,3.70E-03,3.14,13.2,19.8,1.2,101,0.1,2.2557E+00,1.220
HS,0,Sardinops caeruleus,1.00E+06,11,1.1,0.6,22.0,15.2,28.8,0.6,0,0.6,9.30E-03,3.06,13.2,19.8,1.1,101,0.1,2.4379E-05,2.840
HS,0,Trachurus trachurus,1.00E+06,31,0.39,0.6,50.0,34.5,65.5,0.427,0,0.6,9.10E-03,2.97,30.0,45.0,0.39,101,0.1,4.3306E-02,1.780
HS,0,Melanogrammus aeglefinus,1.00E+06,40,0.3,0.6,80.0,55.2,104.8,0.2,0,0.6,5.80E-03,3.13,48.0,72.0,0.3,101,0.1,2.0076E+00,1.237
HS,0,Engraulis encrasicolus,1.00E+06,24,0.49,0.6,19.0,13.1,24.8,0.9,0,0.6,5.60E-03,3.05,11.4,17.1,0.49,101,0.1,5.4127E+00,1.096
HS,0,Thunnus obesus ,1.00E+06,34,0.35,0.6,207.4,143.1,271.7,0.23,0,0.6,1.78E-02,3.01,124.4,186.7,0.35,101,0.1,6.4393E-03,2.050
HS,0,Merluccius hubbsi,1.00E+06,21,0.58,0.6,80.7,55.7,105.7,0.355,0,0.6,9.10E-03,2.94,48.4,72.6,0.58,101,0.1,6.9788E+00,1.060
HS,0,Thunnus alalunga,1.00E+06,36,0.33,0.6,124.0,85.6,162.4,0.228,0,0.6,2.57E-02,2.75,74.4,111.6,0.33,101,0.1,2.3106E-07,3.500
HS,0,Sprattus sprattus,1.00E+06,16,0.73,0.6,13.7,9.5,17.9,0.42,0,0.6,5.60E-03,3.09,8.2,12.3,0.73,101,0.1,2.1020E+00,1.230
HS,0,Clupea pallasii,1.00E+06,24,0.5,0.6,26.3,18.1,34.5,0.36,0,0.6,8.70E-03,3.04,15.8,23.7,0.5,101,0.1,1.1136E+00,1.320
HS,0,Gadus macrocephalus,1.00E+06,32,0.37,0.6,100.0,69.0,131.0,0.18,0,0.6,6.60E-03,3.15,60.0,90.0,0.37,101,0.1,3.5107E+00,1.157
HS,0,Tenualosa ilisha,1.00E+06,22,0.55,0.6,61.5,42.4,80.6,0.275,0,0.6,1.58E-02,2.92,36.9,55.4,0.55,101,0.1,1.1136E+00,1.320
HS,0,Rastrelliger kanagurta,1.00E+06,16,0.75,0.6,32.5,22.4,42.6,0.58,0,0.6,5.90E-03,3.2,19.5,29.3,0.75,101,0.1,2.4691E-04,2.512
HS,0,Harpadon nehereus,1.00E+06,9,1.3,0.6,43.0,29.7,56.3,0.81,0,0.6,1.70E-03,3.32,25.8,38.7,1.3,101,0.1,4.2578E+00,1.130
HS,0,Euthynnus affinis,1.00E+06,13,0.93,0.6,81.0,55.9,106.1,0.56,0,0.6,1.70E-02,3.02,48.6,72.9,0.93,101,0.1,8.5641E+00,1.031
HS,0,Decapterus russelli,1.00E+06,8,1.42,0.6,32.6,22.5,42.6,0.75,0,0.6,1.02E-02,3,19.5,29.3,1.42,101,0.1,3.6869E-08,3.760
HS,0,Ethmalosa fimbriata,1.00E+06,24,0.49,0.6,30,20.7,39.3,0.43,0,0.6,9.50E-03,3.12,18.0,27.0,0.49,101,0.1,3.4452E+00,1.160
HS,0,Scomber japonicus,1.00E+06,24,0.5,0.6,39,26.9,51.1,0.39,0,0.6,4.30E-03,3.25,23.4,35.1,0.5,101,0.1,5.1591E-01,1.429
HS,0,Sardina pilchardus ,1.00E+06,9,1.4,0.6,17.2,11.9,22.5,0.53,0,0.6,5.20E-03,3.14,10.3,15.5,1.4,101,0.1,2.1020E+00,1.230
HS,0,Micromesistius poutassou,1.00E+06,31,0.39,0.6,35.9,24.8,47.0,0.32,0,0.6,3.80E-03,3.16,21.5,32.3,0.39,101,0.1,2.9916E+00,1.180
HS,0,Brevoortia patronus,1.00E+06,15,0.8,0.6,24.8,17.1,32.5,0.48,0,0.6,7.80E-03,3.23,14.9,22.3,0.8,101,0.1,4.4483E-01,1.450
